scientificName,eventDate,decimalLatitude,decimalLongitude,stateProvince,country,basisOfRecord,institutionCode
"Sus scrofa Linnaeus, 1758",2023-01-09T15:43:56,-20.77137,-48.363803,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2023-01-05T04:42,-22.880342,-46.315358,Minas Gerais,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2023-03-03T17:48,-29.530591,-50.245399,Rio Grande do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2023-04-14T07:43:28,-18.249696,-46.759933,Minas Gerais,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2023-04-01T10:36,-20.09559,-55.965176,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2023-05-01T14:48:11,-27.399747,-49.820972,Santa Catarina,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2023-05-13T03:24,-29.530584,-50.245399,Rio Grande do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2023-05-12T17:39,-19.245063,-55.274538,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2023-05-18T16:31,-11.137757,-47.577996,Tocantins,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2023-06-01T12:35,-22.25096,-47.158788,São Paulo,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa domesticus Linnaeus, 1758",2023-09-07T15:42,-20.09559,-55.965176,Mato Grosso do Sul,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2023-09-04T16:00,-16.51224,-56.711769,Mato Grosso,Brazil,HUMAN_OBSERVATION,iNaturalist
"Sus scrofa Linnaeus, 1758",2023-09-08T14:34,-16.620696,-56.735314,Mato Grosso,Brazil,HUMAN_OBSERVATION,iNaturalist
